ingredient;unit;store;type;supply;minimum;url
gluten free pasta;g;regular;dry;FALSE;;https://shop.rewe.de/p/barilla-pasta-nudeln-spaghetti-glutenfrei-400g/2167566
garlic cloves;;regular;veg;FALSE;;https://shop.rewe.de/p/knoblauch/3363970
onions;;regular;veg;FALSE;;https://shop.rewe.de/p/speisezwiebeln-1kg-netz/1041138
tomato sauce;jar;regular;condiments;FALSE;;https://shop.rewe.de/p/oro-di-parma-passierte-tomaten-400g/5521084
vegan sausages;pack;regular;meat;FALSE;;https://shop.rewe.de/p/greenforce-cevapcici-vegan-180g/8678106
chili;;regular;veg;FALSE;;https://shop.rewe.de/p/chili-mix-tricolor-80g/8229761
cardamom pods;;asia;spice;FALSE;;
pistachio nuts;g;regular;snack;FALSE;;https://shop.rewe.de/p/seeberger-kalifornische-pistazien-gesalzen-150g/2458575
limes;;regular;veg;FALSE;;https://shop.rewe.de/p/limette/3169120
avocados;;regular;veg;FALSE;;
basil;handful;asia;veg;FALSE;;
coriander;handful;asia;veg;FALSE;;
red lentils ;cup;regular;dry;FALSE;;https://shop.rewe.de/p/mueller-s-muehle-rote-linsen-500g/3577287
soy sauce glutenfree;ml;bio;condiments;FALSE;;
maple syrup;ml;bio;baking;FALSE;;
ginger;thumb;regular;veg;FALSE;;https://shop.rewe.de/p/ingwer/1218820
curry paste ;tbsp;asia;spice;FALSE;;
coconut milk;can;regular;cans;FALSE;;https://shop.rewe.de/p/biozentrale-bio-kokosmilch-400ml/2268790
beef mince;g;bio;meat;FALSE;;https://shop.rewe.de/p/rewe-bio-rinderhackfleisch-400g/1287072
tomatoes;;regular;veg;FALSE;;
coconut yoghurt ;ml;bio;dairy;FALSE;;https://shop.rewe.de/p/andros-so-good-so-veggie-joghurt-alternative-natur-400g/8383835
cumin seeds;tsp;asia;spice;FALSE;;
kidney beans;can;regular;cans;FALSE;;https://shop.rewe.de/p/rewe-beste-wahl-kidney-bohnen-212ml/7254096
mexican spices;pack;regular;dry;FALSE;;https://shop.rewe.de/p/just-spices-chili-con-carne-gewuerz-50g/8174554
lettuce;head;regular;dry;FALSE;;https://shop.rewe.de/p/rewe-beste-wahl-romana-salatherzen-3-stueck/1043421
flakes;g;bio;dry;TRUE;500;https://shop.rewe.de/p/alnavit-bio-cornflakes-250g/2523076
dates;;regular;snacks;TRUE;20;https://shop.rewe.de/p/seeberger-datteln-entsteint-200g/1234803
pea milk;ml;regular;dairy;TRUE;1000;https://shop.rewe.de/p/vly-milchalternative-ungesuesst-aus-erbsenprotein-1l/8431499
raspberries;handful;regular;veg;TRUE;7;https://shop.rewe.de/p/himbeere-125g/8448551
dried quinoa;g;bio;dry;TRUE;300;
toast;pieces;bio;dry;TRUE;30;
apple;;regular;veg;TRUE;7;https://shop.rewe.de/p/kanzi-apfel-nicoter-1kg/8146226
orange juice;ml;regular;drinks;TRUE;500;https://shop.rewe.de/p/rewe-beste-wahl-orangensaft-mit-fruchtfleisch-1l/8626551
tea;bag;bio;drinks;TRUE;14;
chips;g;regular;snacks;TRUE;500;https://shop.rewe.de/p/funny-frisch-linsenchips-sour-cream-style-90g/7836741
hummus;g;regular;snacks;TRUE;500;https://shop.rewe.de/p/obela-hummus-pinienkerne-175g/3343358
cashews;g;regular;snacks;TRUE;500;https://shop.rewe.de/p/seeberger-cashewkerne-200g/4744810
corn cakes;pack;regular;snacks;TRUE;1;https://shop.rewe.de/p/biozentrale-bio-maiswaffeln-120g/1051596
peanut butter;g;bio;dry;TRUE;500;
tortilla chips;g;regular;snacks;TRUE;300;https://shop.rewe.de/p/doritos-paprika-110g/8822160
tortilla dip;pack;regular;snacks;TRUE;1;https://shop.rewe.de/p/chio-dip-mild-salsa-200ml/7838071
figs;g;regular;snacks;TRUE;500;https://shop.rewe.de/p/seeberger-delikatess-feigen-200g/5151325
dried apricots;g;regular;snacks;TRUE;500;https://shop.rewe.de/p/seeberger-aprikosen-200g/4745507
chocolate;g;regular;snacks;TRUE;500;https://shop.rewe.de/p/gepa-bio-cardamom-100g/806158
oranges;;regular;veg;TRUE;5;https://shop.rewe.de/p/saftorangen-unbehandelt/7948200
pears;;regular;veg;TRUE;5;https://shop.rewe.de/p/birne-abate-fetel/5800
eggs;pack;regular;dairy;TRUE;1;https://shop.rewe.de/p/haehnlein-bio-eier-6-stueck/2062908
jam;pack;regular;condiments;TRUE;1;https://shop.rewe.de/p/chivers-english-orange-marmelade-340g/324930
cheese raw milk;g;bio;dairy;TRUE;500;
kimchi;g;bio;dairy;TRUE;500;
olive oil;ml;regular;condiments;TRUE;500;https://shop.rewe.de/p/rewe-beste-wahl-olivenoel-raffiniert-500ml/7288865
ras el hanout;tbsp;regular;spice;FALSE;;https://shop.rewe.de/p/just-spices-ras-el-hanout-50g/2454803
sun dried tomatoes;;regular;cans;FALSE;;https://shop.rewe.de/p/rewe-bio-getrocknete-tomaten-180g/8470738
